ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,last_updated_utc
AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,0000008177,BBG000B9XB24,2025-09-18T06:05:34.656748509Z
AAMI,Acadian Asset Management Inc.,stocks,us,XNYS,CS,True,usd,0001748824,BBG00P2HLNY3,2025-09-18T06:05:34.656748589Z
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,True,usd,0001158114,BBG000D6VW15,2025-09-18T06:05:34.65674867Z
AAON,Aaon Inc,stocks,us,XNAS,CS,True,usd,0000824142,BBG000C2LZP3,2025-09-18T06:05:34.65674904Z
AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,True,usd,0001158449,BBG000F7RCJ1,2025-09-18T06:05:34.65674913Z
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETF,True,usd,0001689873,BBG0193F21N2,2025-09-18T06:05:34.656749251Z
AAPD,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETF,True,usd,,BBG0193YGJ57,2025-09-18T06:05:34.656749341Z
AAPG,Ascentage Pharma Group International American Depository Shares,stocks,us,XNAS,ADRC,True,usd,0002023311,BBG01RJXM9C9,2025-09-18T06:05:34.656749421Z
AAPL,Apple Inc.,stocks,us,XNAS,CS,True,usd,0000320193,BBG000B9XRY4,2025-09-18T06:05:34.656749501Z
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,stocks,us,BATS,ETF,True,usd,0001415726,BBG01M698CQ1,2025-09-18T06:05:34.656749581Z
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,stocks,us,XNAS,ETF,True,usd,,BBG0193YBZ92,2025-09-18T06:05:34.656749661Z
AAPW,Roundhill AAPL WeeklyPay ETF,stocks,us,BATS,ETF,True,usd,,BBG01SCFVRC3,2025-09-18T06:05:34.656749812Z
AAPX,T-Rex 2X Long Apple Daily Target ETF,stocks,us,BATS,ETF,True,usd,,BBG01KY72SD3,2025-09-18T06:05:34.656749892Z
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,stocks,us,BATS,ETF,True,usd,0001848758,BBG01QY0GMH9,2025-09-18T06:05:34.656749972Z
AARD,"Aardvark Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001774857,BBG01223DLB2,2025-09-18T06:05:34.656750052Z
AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,True,usd,0001500217,BBG00161BCR0,2025-09-18T06:05:34.656750152Z
AAUC,Allied Gold Corporation,stocks,us,XNYS,CS,True,usd,0001993344,BBG01K0WWT59,2025-09-18T06:05:34.656750243Z
AAUS,Alpha Architect US Equity ETF,stocks,us,XNAS,ETF,True,usd,,BBG01W26H9C1,2025-09-18T06:05:34.656750323Z
AAVM,EA Series Trust Alpha Architect Global Factor Equity ETF,stocks,us,XNAS,ETF,True,usd,,BBG00GM1DQV1,2025-09-18T06:05:34.656750403Z
AAXJ,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000G6GXC5,2025-09-18T06:05:34.656750663Z
AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,True,usd,0000825313,BBG000B9WM03,2025-09-18T06:05:34.656750733Z
ABAT,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,True,usd,0001576873,BBG004M1KJN5,2025-09-18T06:05:34.656750864Z
ABBV,ABBVIE INC.,stocks,us,XNYS,CS,True,usd,0001551152,BBG0025Y4RY4,2025-09-18T06:05:34.656750944Z
ABCB,Ameris Bancorp,stocks,us,XNYS,CS,True,usd,0000351569,BBG000CDY3H5,2025-09-18T06:05:34.656751024Z
ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,BBG00LLW2MF2,2025-09-18T06:05:34.656751114Z
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,stocks,us,XNAS,ETF,True,usd,,BBG01KMFQRF2,2025-09-18T06:05:34.656751194Z
ABEO,Abeona Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0000318306,BBG000DT5D52,2025-09-18T06:05:34.656751275Z
ABEQ,Absolute Select Value ETF,stocks,us,ARCX,ETF,True,usd,0001199046,BBG00RHHGQY2,2025-09-18T06:05:34.656751355Z
ABEV,AMBEV S.A.,stocks,us,XNYS,ADRC,True,usd,0001565025,BBG000BN5VZ4,2025-09-18T06:05:34.656751435Z
ABFL,Abacus FCF Leaders ETF,stocks,us,BATS,ETF,True,usd,,BBG00DW3P010,2025-09-18T06:05:34.656751515Z
ABG,"Asbury Automotive Group, Inc.",stocks,us,XNYS,CS,True,usd,0001144980,BBG000BKDWB5,2025-09-18T06:05:34.656751595Z
ABI,VictoryShares Pioneer Asset-Based Income ETF,stocks,us,XNAS,ETF,True,usd,,BBG01VCKWDB6,2025-09-18T06:05:34.656751675Z
ABIG,Argent Large Cap ETF,stocks,us,XNAS,ETF,True,usd,,BBG01TCJ3701,2025-09-18T06:05:34.656751755Z
ABL,"Abacus Global Management, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001814287,BBG00VY1KB95,2025-09-18T06:05:34.656751836Z
ABLD,Abacus FCF Real Assets Leaders ETF,stocks,us,BATS,ETF,True,usd,,BBG0141PBK24,2025-09-18T06:05:34.656751916Z
ABLG,Abacus FCF International Leaders ETF,stocks,us,BATS,ETF,True,usd,,BBG00H1J5D96,2025-09-18T06:05:34.656752427Z
ABLLL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",stocks,us,XNAS,CS,True,usd,0001814287,,2025-09-18T06:05:34.656752507Z
ABLS,Abacus FCF Small Cap Leaders ETF,stocks,us,BATS,ETF,True,usd,,BBG01SCGBTV8,2025-09-18T06:05:34.656752677Z
ABLV,Able View Global Inc. Class B Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001957489,,2025-09-18T06:05:34.656752757Z
ABLVW,Able View Global Inc. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001957489,,2025-09-18T06:05:34.656752848Z
ABM,"ABM Industries, Inc.",stocks,us,XNYS,CS,True,usd,0000771497,BBG000B9YYH7,2025-09-18T06:05:34.656752928Z
ABNB,"Airbnb, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001559720,BBG001Y2XS07,2025-09-18T06:05:34.656753008Z
ABNY,YieldMax ABNB Option Income Strategy ETF,stocks,us,ARCX,ETS,True,usd,,BBG01JHFMD75,2025-09-18T06:05:34.656753088Z
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001576885,BBG0058YJ317,2025-09-18T06:05:34.656753178Z
ABOT,Abacus FCF Innovation Leaders ETF,stocks,us,BATS,ETF,True,usd,,BBG00YC69CJ2,2025-09-18T06:05:34.656753258Z
ABP,"Abpro Holdings, Inc Common Stock",stocks,us,XNAS,CS,True,usd,0001893219,BBG013X0S7F3,2025-09-18T06:05:34.656753338Z
ABPWW,"Abpro Holdings, Inc. Warrant",stocks,us,XNAS,WARRANT,True,usd,,BBG0142NHSW2,2025-09-18T06:05:34.656753559Z
ABR,"Arbor Realty Trust, Inc.",stocks,us,XNYS,CS,True,usd,0001253986,BBG000KMVDV1,2025-09-18T06:05:34.656753649Z
ABRpD,"Arbor Realty Trust, Inc. 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",stocks,us,XNYS,PFD,True,usd,0001253986,,2025-09-18T06:05:34.656753729Z
ABRpE,"Arbor Realty Trust, Inc. 6.25% Series E Cumulative Redeemable Preferred Stock",stocks,us,XNYS,PFD,True,usd,0001253986,,2025-09-18T06:05:34.656753809Z
ABRpF,"Arbor Realty Trust, Inc. 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",stocks,us,XNYS,PFD,True,usd,0001253986,,2025-09-18T06:05:34.656753889Z
ABSI,Absci Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001672688,BBG011N54CJ8,2025-09-18T06:05:34.65675412Z
ABT,Abbott Laboratories,stocks,us,XNYS,CS,True,usd,0000001800,BBG000B9ZXB4,2025-09-18T06:05:34.6567542Z
ABTC,American Bitcoin Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001755953,BBG00MS8GZP1,2025-09-18T06:05:34.65675431Z
ABTS,Abits Group Inc Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001864055,,2025-09-18T06:05:34.65675439Z
ABUS,Arbutus Biopharma Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001447028,BBG000RR8V85,2025-09-18T06:05:34.656754471Z
ABVC,"ABVC BioPharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001173313,BBG000Q844Z2,2025-09-18T06:05:34.656754551Z
ABVE,Above Food Ingredients Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001979484,BBG01NGG37N1,2025-09-18T06:05:34.656754631Z
ABVEW,Above Food Ingredients Inc. Warrants,stocks,us,XNAS,WARRANT,True,usd,0001979484,BBG01NKYQFV5,2025-09-18T06:05:34.656754711Z
ABVX,Abivax SA American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001956827,BBG01JLQNZ03,2025-09-18T06:05:34.656754791Z
ABXB,Abacus Flexible Bond Leaders ETF,stocks,us,BATS,ETF,True,usd,,BBG00YC5ZT62,2025-09-18T06:05:34.656754881Z
ACA,"Arcosa, Inc. Common Stock",stocks,us,XNYS,CS,True,usd,0001739445,BBG00JGMWFM9,2025-09-18T06:05:34.656754982Z
ACAD,Acadia Pharmaceuticals Inc.,stocks,us,XNAS,CS,True,usd,0001070494,BBG000BHG9K0,2025-09-18T06:05:34.656755062Z
ACB,Aurora Cannabis Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001683541,BBG006SCSYG7,2025-09-18T06:05:34.656755132Z
ACCO,Acco Brands Corporation,stocks,us,XNYS,CS,True,usd,0000712034,BBG000J06K07,2025-09-18T06:05:34.656755222Z
ACCS,ACCESS Newswire Inc.,stocks,us,XASE,CS,True,usd,0000843006,BBG000C1CK87,2025-09-18T06:05:34.656755302Z
ACDC,ProFrac Holding Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001881487,BBG013PRYPJ2,2025-09-18T06:05:34.656755382Z
ACEL,"Accel Entertainment, Inc.",stocks,us,XNYS,CS,True,usd,0001698991,BBG00GX221W3,2025-09-18T06:05:34.656755723Z
ACES,ALPS Clean Energy ETF,stocks,us,ARCX,ETF,True,usd,0001414040,BBG00L99FCT0,2025-09-18T06:05:34.656755803Z
ACET,"Adicet Bio, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001720580,BBG00JCXSJP3,2025-09-18T06:05:34.656755933Z
ACFN,"Acorn Energy, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000880984,BBG000CMY866,2025-09-18T06:05:34.656756014Z
ACGL,Arch Capital Group Ltd,stocks,us,XNAS,CS,True,usd,0000947484,,2025-09-18T06:05:34.656756094Z
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",stocks,us,XNAS,CS,True,usd,0000947484,,2025-09-18T06:05:34.656756174Z
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",stocks,us,XNAS,PFD,True,usd,0000947484,,2025-09-18T06:05:34.656756254Z
ACGR,American Century Large Cap Growth ETF,stocks,us,ARCX,ETF,True,usd,0001481714,BBG011MFL031,2025-09-18T06:05:34.656756344Z
ACHC,"Acadia Healthcare Company, Inc.",stocks,us,XNAS,CS,True,usd,0001520697,BBG000FPNN38,2025-09-18T06:05:34.656756424Z
ACHR,Archer Aviation Inc.,stocks,us,XNYS,CS,True,usd,0001824502,BBG00XRTC910,2025-09-18T06:05:34.656756504Z
ACHR.WS,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",stocks,us,XNYS,WARRANT,True,usd,0001824502,BBG00YGCV1N9,2025-09-18T06:05:34.656756585Z
ACHV,"Achieve Life Sciences, Inc.",stocks,us,XNAS,CS,True,usd,0000949858,BBG000FB8S62,2025-09-18T06:05:34.656756685Z
ACI,"Albertsons Companies, Inc.",stocks,us,XNYS,CS,True,usd,0001646972,BBG009KG1750,2025-09-18T06:05:34.656756765Z
ACIC,American Coastal Insurance Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001401521,BBG000TKFJQ7,2025-09-18T06:05:34.656756845Z
ACIO,Aptus Collared Investment Opportunity ETF,stocks,us,BATS,ETF,True,usd,0001539639,BBG00PNSDFF3,2025-09-18T06:05:34.656756925Z
ACIU,AC Immune SA,stocks,us,XNAS,CS,True,usd,0001651625,,2025-09-18T06:05:34.656757005Z
ACIW,"ACI Worldwide, Inc.",stocks,us,XNAS,CS,True,usd,0000935036,BBG000PMBV39,2025-09-18T06:05:34.656757386Z
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,stocks,us,ARCX,ETF,True,usd,0001722388,BBG01WHYZLL7,2025-09-18T06:05:34.656757466Z
ACLC,American Century Large Cap Equity ETF,stocks,us,ARCX,ETF,True,usd,0001481714,BBG00W0JV9Q5,2025-09-18T06:05:34.656757597Z
ACLO,TCW AAA CLO ETF,stocks,us,XNYS,ETF,True,usd,0001831313,BBG01QPVFLN7,2025-09-18T06:05:34.656757677Z
ACLS,Axcelis Technologies Inc,stocks,us,XNAS,CS,True,usd,0001113232,BBG000DW34S2,2025-09-18T06:05:34.656757827Z
ACLX,"Arcellx, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001786205,BBG00QHJM4S9,2025-09-18T06:05:34.656757907Z
ACM,Aecom,stocks,us,XNYS,CS,True,usd,0000868857,BBG000F61RJ8,2025-09-18T06:05:34.656757977Z
ACMR,"ACM Research, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001680062,BBG00HPSG933,2025-09-18T06:05:34.656758057Z
ACN,Accenture PLC,stocks,us,XNYS,CS,True,usd,0001467373,,2025-09-18T06:05:34.656758138Z
ACNB,ACNB Corp,stocks,us,XNAS,CS,True,usd,0000715579,BBG000BJ2LY9,2025-09-18T06:05:34.656758218Z
ACNT,Ascent Industries Co. Common Stock,stocks,us,XNAS,CS,True,usd,0000095953,BBG000CLRHW7,2025-09-18T06:05:34.656758298Z
ACOG,Alpha Cognition Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001655923,BBG011CJPRD0,2025-09-18T06:05:34.656758378Z
ACON,"Aclarion, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001635077,BBG014FBN4K3,2025-09-18T06:05:34.656758458Z
ACONW,"Aclarion, Inc. Warrant",stocks,us,XNAS,WARRANT,True,usd,0001635077,BBG016Z2HS66,2025-09-18T06:05:34.656758548Z
ACP,abrdn Income Credit Strategies Fund,stocks,us,XNYS,FUND,True,usd,0001503290,BBG0017VSC04,2025-09-18T06:05:34.656758629Z
ACPpA,abrdn Income Credit Strategies Fund  5.250% Series A Perpetual Preferred Stock,stocks,us,XNYS,PFD,True,usd,0001503290,,2025-09-18T06:05:34.656758709Z
ACR,ACRES Commercial Realty Corp.,stocks,us,XNYS,CS,True,usd,0001332551,BBG000HK4RX6,2025-09-18T06:05:34.656758939Z
ACRE,Ares Commercial Real Estate Corporation,stocks,us,XNYS,CS,True,usd,0001529377,BBG0022MMQB0,2025-09-18T06:05:34.656759019Z
ACRS,"Aclaris Therapeutics, Inc.",stocks,us,XNAS,CS,True,usd,0001557746,BBG003LF0QR9,2025-09-18T06:05:34.65675921Z
ACRV,"Acrivon Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001781174,BBG011RWR2Q4,2025-09-18T06:05:34.65675942Z
ACRpC,"ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock, par value $0.001 per share",stocks,us,XNYS,PFD,True,usd,0001332551,,2025-09-18T06:05:34.65675963Z
ACRpD,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,stocks,us,XNYS,PFD,True,usd,0001332551,,2025-09-18T06:05:34.656759711Z
ACSI,American Customer Satisfaction ETF,stocks,us,BATS,ETF,True,usd,0001387131,BBG00F40VFY6,2025-09-18T06:05:34.656759891Z
ACT,"Enact Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001823529,BBG00WSNP4R3,2025-09-18T06:05:34.656759971Z
ACTG,Acacia Research Corporation,stocks,us,XNAS,CS,True,usd,0000934549,BBG000KF9J02,2025-09-18T06:05:34.656760171Z
ACTU,"Actuate Therapeutics, Inc. Common stock",stocks,us,XNAS,CS,True,usd,0001652935,BBG00NK7LK03,2025-09-18T06:05:34.656760262Z
ACTV,LeaderShares Activist Leaders ETF,stocks,us,ARCX,ETF,True,usd,0001552947,BBG00Y002P42,2025-09-18T06:05:34.656760382Z
ACU,Acme United Corporation,stocks,us,XASE,CS,True,usd,0000002098,BBG000BB3LM8,2025-09-18T06:05:34.656760462Z
ACV,Virtus Diversified Income & Convertible Fund,stocks,us,XNYS,FUND,True,usd,0001636289,BBG008HMBD22,2025-09-18T06:05:34.656760542Z
ACVA,ACV Auctions Inc.,stocks,us,XNYS,CS,True,usd,0001637873,BBG00G5JGQ66,2025-09-18T06:05:34.656760622Z
ACVF,American Conservative Values ETF,stocks,us,ARCX,ETF,True,usd,,BBG00Y04Q9T7,2025-09-18T06:05:34.656760702Z
ACVT,Advent Convertible Bond ETF,stocks,us,ARCX,ETF,True,usd,,BBG01TQ0YGP6,2025-09-18T06:05:34.656760793Z
ACWI,iShares MSCI ACWI ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000TH6VB3,2025-09-18T06:05:34.656760993Z
ACWV,iShares MSCI Global Min Vol Factor ETF,stocks,us,BATS,ETF,True,usd,0001100663,BBG0025X38X0,2025-09-18T06:05:34.656761073Z
ACWX,iShares MSCI ACWI ex US ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000TH7DF8,2025-09-18T06:05:34.656761314Z
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001736243,BBG01184DNJ4,2025-09-18T06:05:34.656761404Z
AD,"Array Digital Infrastructure, Inc.",stocks,us,XNYS,CS,True,usd,0000821130,BBG000BW6P59,2025-09-18T06:05:34.656761484Z
ADAG,Adagene Inc. American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001818838,BBG00YZ6BYJ6,2025-09-18T06:05:34.656761564Z
ADAM,"Adamas Trust, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001273685,BBG000GZ8014,2025-09-18T06:05:34.656761644Z
ADAMG,"Adamas Trust, Inc. 9.125% Senior Notes Due 2030",stocks,us,XNAS,CS,True,usd,0001273685,,2025-09-18T06:05:34.656761724Z
ADAMH,"Adamas Trust, Inc. 9.875% Senior Notes Due 2030",stocks,us,XNAS,CS,True,usd,0001273685,,2025-09-18T06:05:34.656761805Z
ADAMI,"Adamas Trust, Inc. 9.125% Senior Notes Due 2029",stocks,us,XNAS,CS,True,usd,0001273685,,2025-09-18T06:05:34.656761885Z
ADAML,"Adamas Trust, Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",stocks,us,XNAS,CS,True,usd,0001273685,,2025-09-18T06:05:34.656761965Z
ADAMM,"Adamas Trust, Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",stocks,us,XNAS,PFD,True,usd,0001273685,,2025-09-18T06:05:34.656762045Z
ADAMN,"Adamas Trust, Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",stocks,us,XNAS,PFD,True,usd,0001273685,,2025-09-18T06:05:34.656762125Z
ADAMZ,"Adamas Trust, Inc. 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",stocks,us,XNAS,CS,True,usd,0001273685,,2025-09-18T06:05:34.656762205Z
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001621227,BBG008G65WC2,2025-09-18T06:05:34.656762286Z
ADBE,Adobe Inc.,stocks,us,XNAS,CS,True,usd,0000796343,BBG000BB5006,2025-09-18T06:05:34.656762366Z
ADBG,Leverage Shares 2X Long ADBE Daily ETF,stocks,us,XNAS,ETF,True,usd,0001976322,BBG01SWP6HM8,2025-09-18T06:05:34.656762596Z
ADC,Agree Realty Corporation,stocks,us,XNYS,CS,True,usd,0000917251,BBG000BC9DK0,2025-09-18T06:05:34.656762676Z
ADCT,ADC Therapeutics SA,stocks,us,XNYS,CS,True,usd,0001771910,,2025-09-18T06:05:34.656762776Z
ADCpA,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",stocks,us,XNYS,PFD,True,usd,0000917251,,2025-09-18T06:05:34.656762887Z
ADEA,Adeia Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001803696,BBG00RBFBL50,2025-09-18T06:05:34.656762967Z
ADFI,Anfield Dynamic Fixed Income ETF,stocks,us,BATS,ETF,True,usd,0001552947,BBG00WRFGTJ5,2025-09-18T06:05:34.656763037Z
ADGM,"Adagio Medical Holdings, Inc Common Stock",stocks,us,XNAS,CS,True,usd,0002006986,BBG01P202S42,2025-09-18T06:05:34.656763127Z
ADI,"Analog Devices, Inc.",stocks,us,XNAS,CS,True,usd,0000006281,BBG000BB6G37,2025-09-18T06:05:34.656763207Z
ADIL,"Adial Pharmaceuticals, Inc",stocks,us,XNAS,CS,True,usd,0001513525,BBG00HNGDTR4,2025-09-18T06:05:34.656763388Z
ADIV,SmartETFs Asia Pacific Dividend Builder ETF,stocks,us,ARCX,ETF,True,usd,,BBG00ZV17TH6,2025-09-18T06:05:34.656763478Z
ADM,Archer Daniels Midland Company,stocks,us,XNYS,CS,True,usd,0000007084,BBG000BB6WG8,2025-09-18T06:05:34.656763648Z
ADMA,"ADMA Biologics, Inc.",stocks,us,XNAS,CS,True,usd,0001368514,BBG002NCK5M5,2025-09-18T06:05:34.656763718Z
ADME,Aptus Behavioral Momentum ETF,stocks,us,BATS,ETF,True,usd,0001539639,BBG00D20HG22,2025-09-18T06:05:34.656763798Z
ADN,"Advent Technologies Holdings, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001744494,BBG00MDV8X34,2025-09-18T06:05:34.656763889Z
ADNT,Adient plc Ordinary Shares,stocks,us,XNYS,CS,True,usd,0001670541,,2025-09-18T06:05:34.656764139Z
ADNWW,"Advent Technologies Holdings, Inc. Warrant",stocks,us,XNAS,WARRANT,True,usd,0001744494,BBG00MVVPD93,2025-09-18T06:05:34.656764219Z
ADP,Automatic Data Processing,stocks,us,XNAS,CS,True,usd,0000008670,BBG000JG0547,2025-09-18T06:05:34.65676456Z
ADPT,Adaptive Biotechnologies Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001478320,BBG001J2PFF5,2025-09-18T06:05:34.65676464Z
ADPV,Adaptiv Select ETF,stocks,us,ARCX,ETF,True,usd,,BBG01BBJQ2C4,2025-09-18T06:05:34.65676476Z
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001879248,,2025-09-18T06:05:34.65676485Z
ADSEW,ADS-TEC ENERGY PLC Warrant,stocks,us,XNAS,WARRANT,True,usd,0001879248,,2025-09-18T06:05:34.656764931Z
ADSK,Autodesk Inc,stocks,us,XNAS,CS,True,usd,0000769397,BBG000BM7HL0,2025-09-18T06:05:34.656765011Z
ADT,ADT Inc.,stocks,us,XNYS,CS,True,usd,0001703056,BBG000BP9WJ1,2025-09-18T06:05:34.656765091Z
ADTN,"ADTRAN Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000926282,BBG0169CH7X9,2025-09-18T06:05:34.656765191Z
ADTX,"Aditxt, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001726711,BBG00RDV1WS5,2025-09-18T06:05:34.656765271Z
ADUR,Aduro Clean Technologies Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001863934,BBG011F62496,2025-09-18T06:05:34.656765351Z
